,customerID,Recency,Monetary,Frequency
0,1,545,11.77,1
1,2,534,89.0,1
2,3,33,156.46,6
3,4,200,100.50000000000001,4
4,5,178,385.61,11
5,6,545,20.99,1
6,7,100,264.67,3
7,8,93,197.66,7
8,9,22,95.85,3
9,10,525,39.31,1
10,11,130,58.550000000000004,4
11,12,545,57.06,1
12,13,545,72.94,1
13,14,545,29.92,1
14,15,545,52.87,1
15,16,293,79.87,4
16,17,545,73.22,1
17,18,542,14.96,1
18,19,385,175.12,2
19,20,528,653.01,2
20,21,533,75.11,2
21,22,545,14.37,1
22,23,545,24.74,1
23,24,161,57.77,2
24,25,22,137.53,8
25,26,520,102.69,2
26,27,534,135.87,2
27,28,479,90.99,3
28,29,65,435.81,11
29,30,501,28.34,2
30,31,36,177.04999999999998,4
31,32,111,78.21,3
32,33,109,1045.47,25
33,34,545,23.14,1
34,35,276,42.22,2
35,36,512,49.67999999999999,2
36,37,48,155.67999999999998,6
37,38,545,12.49,1
38,39,111,221.45000000000002,5
39,40,114,318.9400000000001,11
40,41,545,17.99,1
41,42,544,38.32,2
42,43,37,117.31999999999998,5
43,44,376,59.65,3
44,45,545,14.37,1
45,46,230,315.87000000000006,7
46,47,24,427.80000000000007,20
47,48,17,649.9300000000001,20
48,49,545,27.94,1
49,50,545,6.79,1
50,51,211,367.38000000000005,5
51,52,53,445.68,8
52,53,57,86.21,6
53,54,545,33.96,1
54,55,536,81.45,2
55,56,195,129.19,4
56,57,545,57.86,1
57,58,545,20.99,1
58,59,521,36.53,3
59,60,514,21.75,1
60,61,545,155.65,1
61,62,244,237.14999999999998,11
62,63,40,120.91000000000001,4
63,64,5,367.37,13
64,65,100,68.74,3
65,66,545,39.99,1
66,67,529,71.49,3
67,68,545,40.36,1
68,69,542,217.07999999999998,2
69,70,545,72.23,1
70,71,545,13.97,1
71,72,545,11.99,1
72,73,471,94.57,3
73,74,545,41.99,1
74,75,545,69.81,1
75,76,545,9.99,1
76,77,545,12.97,1
77,78,68,95.26,2
78,79,545,77.44,1
79,80,545,43.46,1
80,81,276,430.69000000000005,14
81,82,81,242.79999999999998,6
82,83,73,101.67999999999999,4
83,84,545,13.97,1
84,85,543,26.31,1
85,86,545,23.94,1
86,87,265,206.55,4
87,88,251,34.97,2
88,89,20,571.88,18
89,90,538,24.67,2
90,91,545,32.54,1
91,92,440,53.339999999999996,2
92,93,543,219.32999999999998,2
93,94,544,44.1,1
94,95,6,1515.2700000000002,28
95,96,3,1445.9899999999998,19
96,97,94,324.75,4
97,98,403,76.46000000000001,2
98,99,196,267.25,7
99,100,71,55.239999999999995,3
100,101,528,23.54,1
101,102,121,157.47,4
